N	V	V1
1099000	49902	20429
1100000	49937	20447
1101000	49955	20448
1102000	49969	20450
1103000	49989	20459
1104000	50006	20458
1105000	50067	20491
1106000	50082	20491
1107000	50116	20504
1108000	50167	20524
1109000	50195	20541
1110000	50209	20539
1111000	50232	20554
1112000	50247	20558
1113000	50263	20565
1114000	50283	20573
1115000	50306	20576
1116000	50341	20587
1117000	50363	20597
1118000	50389	20607
1119000	50406	20611
1120000	50418	20617
1121000	50435	20620
1122000	50453	20626
1123000	50470	20633
1124000	50488	20634
1125000	50501	20636
1126000	50523	20644
1127000	50542	20653
1128000	50564	20668
1129000	50601	20681
1130000	50609	20675
1131000	50633	20670
1132000	50661	20684
1133000	50676	20683
1134000	50703	20685
1135000	50736	20697
1136000	50765	20710
1137000	50774	20714
1138000	50792	20713
1139000	50823	20730
1140000	50838	20735
1141000	50868	20745
1142000	50885	20749
1143000	50903	20756
1144000	50934	20770
1145000	50950	20773
1146000	50968	20780
1147000	50979	20778
1148000	51002	20779
1149000	51021	20784
1150000	51038	20787
1151000	51048	20789
1152000	51075	20792
1153000	51088	20800
1154000	51098	20799
1155000	51125	20809
1156000	51155	20815
1157000	51197	20827
1158000	51225	20820
1159000	51238	20820
1160000	51254	20825
1161000	51265	20830
1162000	51281	20832
1163000	51301	20838
1164000	51323	20843
1165000	51341	20847
1166000	51354	20851
1167000	51389	20872
1168000	51400	20870
1169000	51425	20876
1170000	51450	20882
1171000	51488	20904
1172000	51507	20907
1173000	51520	20908
1174000	51538	20914
1175000	51556	20921
1176000	51577	20932
1177000	51607	20950
1178000	51621	20954
1179000	51647	20969
1180000	51654	20970
1181000	51669	20972
1182000	51695	20986
1183000	51709	20988
1184000	51722	20995
1185000	51740	20995
1186000	51775	21015
1187000	51790	21016
1188000	51811	21028
1189000	51820	21024
1190000	51838	21024
1191000	51858	21033
1192000	51913	21065
1193000	51948	21085
1194000	51976	21108
1195000	52000	21123
1196000	52014	21125
1197000	52025	21128
1198000	52027	21127
1199000	52042	21127
1200000	52085	21141
1201000	52105	21144
1202000	52129	21152
1203000	52150	21151
1204000	52182	21164
1205000	52213	21178
1206000	52237	21184
1207000	52252	21183
1208000	52285	21202
1209000	52313	21221
1210000	52330	21218
1211000	52351	21225
1212000	52386	21243
1213000	52428	21256
1214000	52446	21260
1215000	52464	21265
1216000	52477	21270
1217000	52493	21272
1218000	52513	21280
1219000	52543	21296
1220000	52563	21298
1221000	52583	21309
1222000	52589	21308
1223000	52615	21327
1224000	52620	21325
1225000	52634	21328
1226000	52649	21332
1227000	52661	21338
1228000	52681	21349
1229000	52693	21343
1230000	52696	21338
1231000	52710	21341
1232000	52730	21345
1233000	52755	21357
1234000	52774	21358
1235000	52789	21361
1236000	52808	21356
1237000	52822	21362
1238000	52836	21370
1239000	52855	21376
1240000	52878	21384
1241000	52921	21399
1242000	52928	21400
1243000	52942	21403
1244000	52964	21409
1245000	53008	21435
1246000	53030	21443
1247000	53047	21450
1248000	53078	21469
1249000	53122	21494
1250000	53153	21511
1251000	53169	21513
1252000	53184	21520
1253000	53209	21529
1254000	53216	21529
1255000	53225	21529
1256000	53240	21533
1257000	53252	21540
1258000	53262	21541
1259000	53278	21547
1260000	53302	21560
1261000	53310	21564
1262000	53317	21564
1263000	53349	21581
1264000	53357	21581
1265000	53369	21589
1266000	53386	21600
1267000	53399	21601
1268000	53422	21607
1269000	53446	21618
1270000	53470	21627
1271000	53488	21638
1272000	53515	21647
1273000	53546	21658
1274000	53581	21677
1275000	53588	21673
1276000	53604	21680
1277000	53613	21675
1278000	53623	21679
1279000	53636	21681
1280000	53648	21685
1281000	53656	21691
1282000	53672	21700
1283000	53713	21723
1284000	53747	21741
1285000	53760	21740
1286000	53781	21740
1287000	53803	21752
1288000	53811	21754
1289000	53841	21760
1290000	53870	21769
1291000	53888	21775
1292000	53909	21789
1293000	53917	21787
1294000	53936	21793
1295000	53969	21807
1296000	53977	21810
1297000	53986	21814
1298000	54000	21822
1299000	54019	21828
1300000	54033	21836
1301000	54064	21851
1302000	54094	21859
1303000	54105	21855
1304000	54124	21868
1305000	54141	21872
1306000	54154	21877
1307000	54182	21890
1308000	54199	21889
1309000	54232	21894
1310000	54251	21902
1311000	54257	21904
1312000	54268	21901
1313000	54292	21911
1314000	54322	21929
1315000	54342	21934
1316000	54356	21941
1317000	54377	21949
1318000	54403	21969
1319000	54417	21969
1320000	54443	21973
1321000	54457	21978
1322000	54467	21978
1323000	54482	21987
1324000	54506	21998
1325000	54521	22004
1326000	54559	22025
1327000	54585	22035
1328000	54601	22041
1329000	54626	22055
1330000	54648	22069
1331000	54670	22075
1332000	54684	22070
1333000	54723	22087
1334000	54744	22092
1335000	54757	22095
1336000	54767	22099
