N	V	V1
632000	54003	27881
633000	54089	27932
634000	54156	27967
635000	54215	27988
636000	54262	27999
637000	54321	28036
638000	54379	28067
639000	54450	28120
640000	54518	28164
641000	54595	28218
642000	54641	28238
643000	54688	28260
644000	54739	28298
645000	54778	28313
646000	54808	28326
647000	54835	28337
648000	54866	28352
649000	54889	28365
650000	54920	28375
651000	54960	28402
652000	55009	28428
653000	55055	28452
654000	55118	28480
655000	55165	28494
656000	55211	28517
657000	55255	28541
658000	55288	28542
659000	55345	28584
660000	55383	28607
661000	55416	28617
662000	55456	28637
663000	55495	28656
664000	55555	28695
665000	55634	28736
666000	55709	28782
667000	55752	28796
668000	55802	28834
669000	55847	28859
670000	55887	28883
671000	55933	28904
672000	55977	28930
673000	56016	28954
674000	56058	28966
675000	56113	29001
676000	56163	29033
677000	56204	29056
678000	56245	29076
679000	56290	29096
680000	56343	29129
681000	56391	29151
682000	56434	29173
683000	56479	29198
684000	56526	29207
685000	56584	29244
686000	56635	29270
687000	56660	29272
688000	56706	29297
689000	56752	29321
690000	56788	29343
691000	56855	29383
692000	56918	29416
693000	56967	29437
694000	57041	29476
695000	57116	29511
696000	57190	29550
697000	57241	29578
698000	57310	29618
699000	57366	29633
700000	57410	29651
701000	57465	29692
702000	57524	29731
703000	57573	29754
704000	57617	29776
705000	57680	29818
706000	57733	29842
707000	57773	29856
708000	57821	29873
709000	57857	29890
710000	57901	29911
711000	57960	29942
712000	58023	29980
713000	58089	30012
714000	58139	30038
715000	58187	30067
716000	58220	30083
717000	58267	30103
718000	58311	30112
719000	58370	30144
720000	58407	30162
721000	58453	30179
722000	58491	30197
723000	58538	30216
724000	58570	30232
725000	58605	30244
726000	58635	30259
727000	58673	30278
728000	58707	30293
729000	58735	30299
730000	58770	30315
731000	58808	30337
732000	58841	30358
733000	58886	30390
734000	58913	30403
735000	58945	30415
736000	58992	30444
737000	59036	30472
738000	59116	30526
739000	59153	30545
740000	59219	30582
741000	59267	30599
742000	59304	30615
743000	59345	30640
744000	59399	30669
745000	59437	30688
746000	59488	30725
747000	59517	30736
748000	59558	30757
749000	59597	30783
750000	59642	30808
751000	59683	30828
752000	59730	30853
753000	59774	30882
754000	59824	30913
755000	59869	30938
756000	59921	30973
757000	59958	30995
758000	59984	31014
759000	59984	31014
760000	59984	31014
761000	59984	31014
762000	59984	31014
763000	59984	31014
764000	59984	31014
765000	59984	31014
766000	59984	31014
767000	59984	31014
768000	59984	31014
769000	59984	31014
770000	59984	31014
771000	59984	31014
772000	59984	31014
773000	59995	31016
774000	60036	31033
775000	60078	31053
776000	60116	31066
777000	60159	31089
778000	60203	31111
779000	60250	31135
780000	60302	31163
781000	60340	31173
782000	60389	31202
783000	60422	31217
784000	60469	31240
785000	60511	31259
786000	60555	31284
787000	60587	31304
788000	60615	31317
789000	60676	31358
790000	60727	31380
791000	60773	31404
792000	60811	31422
793000	60850	31443
794000	60899	31466
795000	60962	31515
796000	61013	31532
797000	61065	31557
798000	61118	31576
799000	61158	31590
800000	61223	31628
801000	61270	31649
802000	61322	31666
803000	61388	31705
804000	61430	31718
805000	61482	31743
806000	61549	31788
807000	61603	31813
808000	61650	31839
809000	61701	31876
810000	61762	31914
811000	61815	31941
812000	61864	31968
813000	61901	31980
814000	61955	32008
815000	62020	32045
816000	62068	32068
817000	62108	32086
818000	62145	32102
819000	62184	32122
820000	62230	32141
821000	62266	32161
822000	62301	32177
823000	62348	32199
824000	62396	32220
825000	62444	32247
826000	62485	32267
827000	62529	32287
828000	62577	32311
829000	62594	32307
830000	62656	32341
831000	62723	32379
832000	62792	32410
833000	62856	32431
834000	62910	32457
835000	62981	32495
836000	63048	32521
837000	63100	32544
838000	63164	32579
839000	63221	32606
840000	63286	32637
841000	63345	32653
842000	63419	32695
843000	63507	32745
844000	63572	32769
845000	63608	32785
846000	63631	32790
847000	63669	32809
848000	63701	32815
849000	63726	32821
850000	63754	32841
851000	63792	32865
852000	63835	32881
853000	63891	32916
854000	63931	32937
855000	63987	32973
856000	64053	33012
857000	64120	33056
858000	64174	33100
859000	64213	33124
860000	64244	33144
861000	64281	33160
862000	64313	33172
863000	64351	33195
864000	64392	33217
865000	64447	33235
866000	64483	33258
867000	64518	33282
868000	64561	33302
869000	64595	33313
870000	64632	33331
871000	64686	33358
872000	64750	33396
873000	64815	33430
874000	64874	33464
875000	64940	33507
876000	64967	33512
877000	65006	33528
878000	65043	33549
879000	65080	33554
880000	65103	33560
881000	65135	33573
882000	65171	33591
883000	65194	33591
884000	65229	33618
885000	65261	33631
886000	65283	33634
887000	65318	33655
888000	65351	33674
889000	65406	33704
890000	65449	33727
891000	65494	33755
892000	65521	33761
893000	65573	33794
894000	65618	33823
895000	65652	33841
896000	65687	33858
897000	65727	33879
898000	65761	33896
899000	65799	33922
900000	65834	33934
901000	65864	33957
902000	65908	33982
903000	65949	34014
904000	65997	34043
905000	66040	34066
906000	66091	34092
907000	66130	34109
908000	66168	34119
909000	66214	34141
910000	66247	34153
911000	66286	34179
912000	66315	34188
913000	66353	34216
914000	66385	34233
915000	66435	34255
916000	66445	34212
917000	66450	34150
918000	66513	34185
919000	66598	34232
920000	66676	34266
921000	66750	34298
922000	66824	34338
923000	66892	34367
924000	66963	34398
925000	67016	34435
926000	67066	34464
927000	67115	34494
928000	67159	34515
929000	67212	34546
