m	Vm
7357	1
7465	1
7508	1
7632	1
7662	1
7786	1
7788	1
7801	1
7837	1
7874	1
7949	1
8060	1
8068	1
8269	1
8294	1
8441	1
8456	1
8515	1
8521	1
8805	1
8885	1
9063	1
9147	2
9228	1
9283	1
9418	1
9592	1
9689	1
9756	1
9800	1
9890	1
10036	1
10249	1
10288	1
10473	1
10559	1
10671	1
11018	1
11537	1
11809	1
11966	1
11997	1
12023	1
12216	1
12238	1
12331	1
12348	1
12380	1
12423	1
12482	1
12980	1
13106	1
13111	1
13295	1
13317	1
13339	1
13394	1
13403	1
13696	1
13967	1
14171	1
14359	1
14611	1
14864	1
14876	1
15026	1
15267	1
15464	1
15661	1
16048	1
16165	1
16246	1
16412	1
16495	1
16788	1
16885	1
17099	1
17101	1
17423	1
17445	1
17450	1
18068	1
18122	1
18532	1
18562	1
20046	1
20207	1
20697	1
21253	1
21363	1
21697	1
22058	1
22770	1
23419	1
24591	1
25348	1
25432	1
26026	1
26696	1
26809	1
26860	1
27735	1
27770	1
28031	1
28460	1
30490	1
33802	1
34284	1
37026	1
44940	1
46804	1
54155	1
59280	1
59305	1
62757	1
66228	1
69113	1
69848	1
80404	1
105379	1
114017	1
149067	1
561110	1
